REGIAO:;SE;;;
UF:;SP;;;
ESTACAO:;SAO PAULO - INTERLAGOS;;;
CODIGO (WMO):;A771;;;
LATITUDE:;-2,372,444,443;;;
LONGITUDE:;-4,667,749,999;;;
ALTITUDE:;771;;;
DATA DE FUNDACAO:;14/03/2018;;;
Data;Hora UTC;Precipitacao;Temperatura;Umidade
01/01/2026;0000 UTC;0;23,3;72
01/01/2026;0100 UTC;0;22,5;75
01/01/2026;0200 UTC;0;22,6;76
01/01/2026;0300 UTC;0;22,4;78
01/01/2026;0400 UTC;0;22,8;79
01/01/2026;0500 UTC;0;22,7;80
01/01/2026;0600 UTC;0;23,1;79
01/01/2026;0700 UTC;0;22,5;83
01/01/2026;0800 UTC;0;22,2;83
01/01/2026;0900 UTC;0;22,3;84
01/01/2026;1000 UTC;0;23,8;78
01/01/2026;1100 UTC;0;24,4;75
01/01/2026;1200 UTC;0;26,4;67
01/01/2026;1300 UTC;0;27,8;60
01/01/2026;1400 UTC;0;28,2;58
01/01/2026;1500 UTC;0;30,5;48
01/01/2026;1600 UTC;0;30,1;50
01/01/2026;1700 UTC;0;30,4;50
01/01/2026;1800 UTC;0;30,8;51
01/01/2026;1900 UTC;0;30,1;52
01/01/2026;2000 UTC;0;30,2;52
01/01/2026;2100 UTC;0;29,1;55
01/01/2026;2200 UTC;0;27,8;61
01/01/2026;2300 UTC;0;23,9;77
02/01/2026;0000 UTC;3;21,4;92
02/01/2026;0100 UTC;,4;21;96
02/01/2026;0200 UTC;0;22;93
02/01/2026;0300 UTC;,2;21,8;90
02/01/2026;0400 UTC;0;21,9;89
02/01/2026;0500 UTC;0;21,9;90
02/01/2026;0600 UTC;0;21,7;89
02/01/2026;0700 UTC;0;21,5;89
02/01/2026;0800 UTC;0;21,6;89
02/01/2026;0900 UTC;0;21,8;89
02/01/2026;1000 UTC;0;22,3;86
02/01/2026;1100 UTC;0;23,1;83
02/01/2026;1200 UTC;0;25,6;71
02/01/2026;1300 UTC;0;25,5;71
02/01/2026;1400 UTC;0;27,2;65
02/01/2026;1500 UTC;0;28,6;61
02/01/2026;1600 UTC;0;28,8;61
02/01/2026;1700 UTC;0;27,8;61
02/01/2026;1800 UTC;0;28;61
02/01/2026;1900 UTC;0;27,7;65
02/01/2026;2000 UTC;0;27,6;66
02/01/2026;2100 UTC;0;25,5;67
02/01/2026;2200 UTC;0;24,6;75
02/01/2026;2300 UTC;0;24,5;78
03/01/2026;0000 UTC;1,2;21,2;90
03/01/2026;0100 UTC;0;20,7;92
03/01/2026;0200 UTC;0;20,7;94
03/01/2026;0300 UTC;0;20,5;93
03/01/2026;0400 UTC;0;20,9;92
03/01/2026;0500 UTC;0;21;94
03/01/2026;0600 UTC;0;21,3;91
03/01/2026;0700 UTC;0;21;92
03/01/2026;0800 UTC;,2;20,8;90
03/01/2026;0900 UTC;0;21,1;90
03/01/2026;1000 UTC;0;22,7;82
03/01/2026;1100 UTC;0;22,9;83
03/01/2026;1200 UTC;0;24,5;74
03/01/2026;1300 UTC;,2;27,2;67
03/01/2026;1400 UTC;0;27,8;63
03/01/2026;1500 UTC;0;29,6;56
03/01/2026;1600 UTC;0;30,8;48
03/01/2026;1700 UTC;0;30,3;55
03/01/2026;1800 UTC;0;29,7;52
03/01/2026;1900 UTC;0;30,3;50
03/01/2026;2000 UTC;0;27,3;60
03/01/2026;2100 UTC;0;27,5;68
03/01/2026;2200 UTC;0;25,4;81
03/01/2026;2300 UTC;0;23,9;89
04/01/2026;0000 UTC;0;23,3;89
04/01/2026;0100 UTC;0;24,1;83
04/01/2026;0200 UTC;0;23,7;87
04/01/2026;0300 UTC;0;22,2;83
04/01/2026;0400 UTC;0;21,5;87
04/01/2026;0500 UTC;0;21,2;88
04/01/2026;0600 UTC;0;20,9;90
04/01/2026;0700 UTC;0;20,4;85
04/01/2026;0800 UTC;,2;19,8;94
04/01/2026;0900 UTC;1;19,9;95
04/01/2026;1000 UTC;0;19,6;94
04/01/2026;1100 UTC;,6;19,2;94
04/01/2026;1200 UTC;,2;19,4;94
04/01/2026;1300 UTC;0;19,3;93
04/01/2026;1400 UTC;0;20,8;83
04/01/2026;1500 UTC;0;21,2;83
04/01/2026;1600 UTC;0;20,7;81
04/01/2026;1700 UTC;0;20,6;81
04/01/2026;1800 UTC;0;21,4;79
04/01/2026;1900 UTC;0;18,8;90
04/01/2026;2000 UTC;0;19,1;86
04/01/2026;2100 UTC;0;18;93
04/01/2026;2200 UTC;,4;17,5;94
04/01/2026;2300 UTC;0;17,4;94
05/01/2026;0000 UTC;0;17,5;95
05/01/2026;0100 UTC;0;17,4;93
05/01/2026;0200 UTC;0;17,3;94
05/01/2026;0300 UTC;0;17,6;91
05/01/2026;0400 UTC;0;17,4;94
05/01/2026;0500 UTC;0;17,4;94
05/01/2026;0600 UTC;0;17,4;94
05/01/2026;0700 UTC;,2;17,2;95
05/01/2026;0800 UTC;,2;16,5;94
05/01/2026;0900 UTC;0;17;92
05/01/2026;1000 UTC;0;16,8;94
05/01/2026;1100 UTC;0;17,1;91
05/01/2026;1200 UTC;0;18,2;86
05/01/2026;1300 UTC;0;19,1;82
05/01/2026;1400 UTC;0;17,3;88
05/01/2026;1500 UTC;0;18,5;84
05/01/2026;1600 UTC;0;19,3;81
05/01/2026;1700 UTC;0;19;86
05/01/2026;1800 UTC;0;18,7;86
05/01/2026;1900 UTC;0;18,3;87
05/01/2026;2000 UTC;0;17,4;91
05/01/2026;2100 UTC;0;17,2;94
05/01/2026;2200 UTC;0;16,8;93
05/01/2026;2300 UTC;0;17;94
06/01/2026;0000 UTC;,8;16,5;95
